Id;Name;BuildId;Duration;CalcPrio;LastRun;Verdict;Cycle;LastResults
147;56;2;2.0;0;2020-05-28 21:29:08.760;0;2;[]
148;113;2;0.62;0;2020-05-28 21:29:08.760;0;2;[]
149;112;2;0.7;0;2020-05-28 21:29:08.760;0;2;[]
150;18;2;0.03;0;2020-05-28 21:29:08.760;0;2;[]
151;13;2;0.04;0;2020-05-28 21:29:08.760;0;2;[]
152;93;2;0.02;0;2020-05-28 21:29:08.760;0;2;[]
153;12;2;0.02;0;2020-05-28 21:29:08.760;0;2;[]
154;182;2;0.02;0;2020-05-28 21:29:08.760;0;2;[]
155;11;2;2.29;0;2020-05-28 21:29:08.760;0;2;[]
156;9;2;0.0;0;2020-05-28 21:29:08.760;0;2;[]
157;8;2;0.03;0;2020-05-28 21:29:08.760;0;2;[]
158;6;2;0.03;0;2020-05-28 21:29:08.760;0;2;[]
159;5;2;0.03;0;2020-05-28 21:29:08.760;0;2;[]
160;4;2;0.02;0;2020-05-28 21:29:08.760;0;2;[]
161;67;2;3.24;0;2020-05-28 21:29:08.760;0;2;[]
162;180;2;0.62;0;2020-05-28 21:29:08.760;0;2;[]
163;63;2;3.74;0;2020-05-28 21:29:08.760;0;2;[]
164;2;2;0.56;0;2020-05-28 21:29:08.760;0;2;[]
165;75;2;0.03;0;2020-05-28 21:29:08.760;0;2;[]
166;77;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
167;105;2;0.59;0;2020-05-28 21:29:08.760;0;2;[]
168;104;2;0.74;0;2020-05-28 21:29:08.760;0;2;[]
169;147;2;0.66;0;2020-05-28 21:29:08.760;0;2;[]
170;178;2;0.63;0;2020-05-28 21:29:08.760;0;2;[]
171;16;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
172;15;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
173;99;2;0.15;0;2020-05-28 21:29:08.760;0;2;[]
174;53;2;0.04;0;2020-05-28 21:29:08.760;0;2;[]
175;51;2;0.03;0;2020-05-28 21:29:08.760;0;2;[]
176;109;2;0.49;0;2020-05-28 21:29:08.760;0;2;[]
177;44;2;0.56;0;2020-05-28 21:29:08.760;0;2;[]
178;43;2;0.38;0;2020-05-28 21:29:08.760;0;2;[]
179;110;2;0.66;0;2020-05-28 21:29:08.760;0;2;[]
180;42;2;0.51;0;2020-05-28 21:29:08.760;0;2;[]
181;48;2;0.5;0;2020-05-28 21:29:08.760;0;2;[]
182;41;2;0.03;0;2020-05-28 21:29:08.760;0;2;[]
183;74;2;0.02;0;2020-05-28 21:29:08.760;0;2;[]
184;30;2;0.02;0;2020-05-28 21:29:08.760;0;2;[]
185;132;2;0.46;0;2020-05-28 21:29:08.760;0;2;[]
186;173;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
187;32;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
188;33;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
189;78;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
190;76;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
191;61;2;4.4;0;2020-05-28 21:29:08.760;0;2;[]
192;36;2;0.03;0;2020-05-28 21:29:08.760;0;2;[]
193;168;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
194;34;2;0.0;0;2020-05-28 21:29:08.760;0;2;[]
195;35;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
196;31;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
197;45;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
198;46;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
199;83;2;0.51;0;2020-05-28 21:29:08.760;0;2;[]
200;106;2;0.84;0;2020-05-28 21:29:08.760;0;2;[]
201;91;2;0.49;0;2020-05-28 21:29:08.760;0;2;[]
202;57;2;1.92;0;2020-05-28 21:29:08.760;0;2;[]
203;90;2;0.54;0;2020-05-28 21:29:08.760;0;2;[]
204;89;2;0.5;0;2020-05-28 21:29:08.760;0;2;[]
205;177;2;0.53;0;2020-05-28 21:29:08.760;0;2;[]
206;19;2;0.56;0;2020-05-28 21:29:08.760;0;2;[]
207;17;2;0.45;0;2020-05-28 21:29:08.760;0;2;[]
208;172;2;0.01;0;2020-05-28 21:29:08.760;1;2;[]
209;144;2;0.0;0;2020-05-28 21:29:08.760;0;2;[]
210;94;2;0.0;0;2020-05-28 21:29:08.760;0;2;[]
211;72;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
212;50;2;0.02;0;2020-05-28 21:29:08.760;0;2;[]
213;49;2;0.03;0;2020-05-28 21:29:08.760;0;2;[]
214;55;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
215;47;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
216;96;2;0.0;0;2020-05-28 21:29:08.760;0;2;[]
217;68;2;0.49;0;2020-05-28 21:29:08.760;0;2;[]
218;146;2;0.55;0;2020-05-28 21:29:08.760;0;2;[]
219;70;2;0.5;0;2020-05-28 21:29:08.760;0;2;[]
220;108;2;0.64;0;2020-05-28 21:29:08.760;0;2;[]
221;52;2;0.02;0;2020-05-28 21:29:08.760;0;2;[]
222;1;2;0.01;0;2020-05-28 21:29:08.760;0;2;[]
223;57;3;0.93;0;2020-05-28 23:02:16.396;0;3;[]
224;11;3;1.16;0;2020-05-28 23:02:16.396;0;3;[]
225;112;3;0.58;0;2020-05-28 23:02:16.396;0;3;[]
226;178;3;0.57;0;2020-05-28 23:02:16.396;0;3;[]
227;137;3;0.51;0;2020-05-28 23:02:16.396;0;3;[]
228;54;3;0.82;0;2020-05-28 23:02:16.396;0;3;[]
229;91;3;0.6;0;2020-05-28 23:02:16.396;0;3;[]
230;89;3;0.6;0;2020-05-28 23:02:16.396;0;3;[]
231;113;3;0.52;0;2020-05-28 23:02:16.396;0;3;[]
232;69;3;0.99;0;2020-05-28 23:02:16.396;0;3;[]
233;107;3;0.54;0;2020-05-28 23:02:16.396;0;3;[]
234;63;3;1.49;0;2020-05-28 23:02:16.396;0;3;[]
235;62;3;1.37;0;2020-05-28 23:02:16.396;0;3;[]
236;61;3;1.37;0;2020-05-28 23:02:16.396;0;3;[]
237;64;3;1.45;0;2020-05-28 23:02:16.396;0;3;[]
238;90;3;0.6;0;2020-05-28 23:02:16.396;0;3;[]
239;179;3;0.54;0;2020-05-28 23:02:16.396;0;3;[]
240;60;3;1.56;0;2020-05-28 23:02:16.396;0;3;[]
241;67;3;1.56;0;2020-05-28 23:02:16.396;0;3;[]
242;138;3;0.54;0;2020-05-28 23:02:16.396;0;3;[]
243;173;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
244;139;3;0.46;0;2020-05-28 23:02:16.396;0;3;[]
245;65;3;1.33;0;2020-05-28 23:02:16.396;0;3;[]
246;56;3;0.76;0;2020-05-28 23:02:16.396;0;3;[]
247;19;3;0.61;0;2020-05-28 23:02:16.396;0;3;[]
248;17;3;0.62;0;2020-05-28 23:02:16.396;0;3;[]
249;73;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
250;29;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
251;28;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
252;27;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
253;26;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
254;25;3;0.02;0;2020-05-28 23:02:16.396;0;3;[]
255;24;3;0.02;0;2020-05-28 23:02:16.396;0;3;[]
256;23;3;0.02;0;2020-05-28 23:02:16.396;0;3;[]
257;22;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
258;21;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
259;82;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
260;14;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
261;100;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
262;85;3;0.02;0;2020-05-28 23:02:16.396;0;3;[]
263;72;3;0.02;0;2020-05-28 23:02:16.396;0;3;[]
264;94;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
265;144;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
266;172;3;0.01;0;2020-05-28 23:02:16.396;1;3;[]
267;124;3;0.48;0;2020-05-28 23:02:16.396;0;3;[]
268;68;3;0.6;0;2020-05-28 23:02:16.396;0;3;[]
269;143;3;0.57;0;2020-05-28 23:02:16.396;0;3;[]
270;40;3;0.58;0;2020-05-28 23:02:16.396;0;3;[]
271;84;3;0.6;0;2020-05-28 23:02:16.396;0;3;[]
272;2;3;0.61;0;2020-05-28 23:02:16.396;0;3;[]
273;180;3;0.62;0;2020-05-28 23:02:16.396;0;3;[]
274;177;3;0.57;0;2020-05-28 23:02:16.396;0;3;[]
275;31;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
276;182;3;0.02;0;2020-05-28 23:02:16.396;0;3;[]
277;6;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
278;51;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
279;18;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
280;32;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
281;33;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
282;78;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
283;76;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
284;168;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
285;34;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
286;35;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
287;20;3;0.02;0;2020-05-28 23:02:16.396;0;3;[]
288;36;3;0.02;0;2020-05-28 23:02:16.396;0;3;[]
289;77;3;0.02;0;2020-05-28 23:02:16.396;0;3;[]
290;106;3;0.74;0;2020-05-28 23:02:16.396;0;3;[]
291;75;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
292;52;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
293;48;3;0.75;0;2020-05-28 23:02:16.396;0;3;[]
294;53;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
295;170;3;0.02;0;2020-05-28 23:02:16.396;0;3;[]
296;171;3;0.02;0;2020-05-28 23:02:16.396;0;3;[]
297;166;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
298;43;3;0.76;0;2020-05-28 23:02:16.396;0;3;[]
299;135;3;0.74;0;2020-05-28 23:02:16.396;0;3;[]
300;147;3;0.74;0;2020-05-28 23:02:16.396;0;3;[]
301;66;3;0.04;0;2020-05-28 23:02:16.396;0;3;[]
302;37;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
303;142;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
304;4;3;0.04;0;2020-05-28 23:02:16.396;0;3;[]
305;5;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
306;50;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
307;55;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
308;8;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
309;9;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
310;74;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
311;12;3;0.02;0;2020-05-28 23:02:16.396;0;3;[]
312;93;3;0.02;0;2020-05-28 23:02:16.396;0;3;[]
313;13;3;0.02;0;2020-05-28 23:02:16.396;0;3;[]
314;99;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
315;70;3;0.52;0;2020-05-28 23:02:16.396;0;3;[]
316;83;3;0.75;0;2020-05-28 23:02:16.396;0;3;[]
317;1;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
318;15;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
319;16;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
320;49;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
321;41;3;0.04;0;2020-05-28 23:02:16.396;0;3;[]
322;45;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
323;46;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
324;110;3;0.66;0;2020-05-28 23:02:16.396;0;3;[]
325;132;3;0.65;0;2020-05-28 23:02:16.396;0;3;[]
326;108;3;0.68;0;2020-05-28 23:02:16.396;0;3;[]
327;109;3;0.69;0;2020-05-28 23:02:16.396;0;3;[]
328;104;3;0.69;0;2020-05-28 23:02:16.396;0;3;[]
329;146;3;0.69;0;2020-05-28 23:02:16.396;0;3;[]
330;96;3;0.02;0;2020-05-28 23:02:16.396;0;3;[]
331;44;3;0.69;0;2020-05-28 23:02:16.396;0;3;[]
332;105;3;0.7;0;2020-05-28 23:02:16.396;0;3;[]
333;47;3;0.01;0;2020-05-28 23:02:16.396;0;3;[]
334;42;3;0.25;0;2020-05-28 23:02:16.396;0;3;[]
335;30;3;0.03;0;2020-05-28 23:02:16.396;0;3;[]
336;23;4;0.01;0;2020-05-29 13:32:20.364;0;4;[]
337;24;4;0.01;0;2020-05-29 13:32:20.364;0;4;[]
338;25;4;0.02;0;2020-05-29 13:32:20.364;0;4;[]
339;44;4;0.69;0;2020-05-29 13:32:20.364;0;4;[]
340;42;4;0.38;0;2020-05-29 13:32:20.364;0;4;[]
341;110;4;0.74;0;2020-05-29 13:32:20.364;0;4;[]
342;48;4;0.73;0;2020-05-29 13:32:20.364;0;4;[]
343;43;4;0.63;0;2020-05-29 13:32:20.364;0;4;[]
344;109;4;0.68;0;2020-05-29 13:32:20.364;0;4;[]
345;22;4;0.01;0;2020-05-29 13:32:20.364;0;4;[]
346;132;4;0.58;0;2020-05-29 13:32:20.364;0;4;[]
347;45;4;0.01;0;2020-05-29 13:32:20.364;0;4;[]
348;41;4;0.03;0;2020-05-29 13:32:20.364;0;4;[]
349;21;4;0.02;0;2020-05-29 13:32:20.364;0;4;[]
350;19;4;0.74;0;2020-05-29 13:32:20.364;0;4;[]
351;14;4;0.02;0;2020-05-29 13:32:20.364;0;4;[]
352;46;4;0.0;0;2020-05-29 13:32:20.364;0;4;[]
353;107;4;0.61;0;2020-05-29 13:32:20.364;0;4;[]
354;113;4;0.66;0;2020-05-29 13:32:20.364;0;4;[]
355;112;4;0.72;0;2020-05-29 13:32:20.364;0;4;[]
356;178;4;0.75;0;2020-05-29 13:32:20.364;0;4;[]
357;147;4;0.75;0;2020-05-29 13:32:20.364;0;4;[]
